system_id,timestamp,temperature,humidity,moisture,ph,ec,nitrogen,phosphorus,potassium,source_name,energy,cps,activity
Lisimeter_1,2025-08-25 21:24:35,24.9,49.43,55.19,6.96,589.0,123.0,79.0,125.0,Co-60,1204.58,256.0,2.28
Lisimeter_1,2025-08-25 21:24:37,25.0,50.47,55.95,7.0,646.0,118.0,69.0,121.0,Co-60,1197.27,261.0,2.2
Lisimeter_1,2025-08-25 21:24:39,25.28,49.44,55.35,6.94,943.0,121.0,71.0,134.0,Co-60,1183.28,259.0,2.31
Lisimeter_2,2025-08-25 21:24:41,24.68,50.94,54.55,6.95,642.0,152.0,98.0,122.0,Co-60,1181.89,253.0,1.41
Lisimeter_1,2025-08-25 21:24:41,25.37,51.22,53.1,7.05,925.0,190.0,95.0,150.0,Co-60,1272.17,255.0,1.12
Lisimeter_2,2025-08-25 21:24:43,25.19,50.07,54.96,7.1,616.0,170.0,98.0,119.0,Co-60,1297.46,273.0,1.06
Lisimeter_1,2025-08-25 21:24:43,25.42,51.67,55.13,6.92,607.0,150.0,89.0,94.0,Co-60,1309.4,273.0,2.45
Lisimeter_2,2025-08-25 21:24:45,24.89,50.73,52.48,6.94,978.0,107.0,88.0,93.0,Co-60,1229.12,277.0,1.43
Lisimeter_1,2025-08-25 21:24:45,25.54,51.76,52.1,7.09,924.0,137.0,86.0,77.0,Co-60,1205.29,284.0,2.25
Lisimeter_2,2025-08-25 21:24:47,25.83,50.71,53.46,7.13,714.0,149.0,100.0,102.0,Co-60,1267.34,286.0,1.68
Lisimeter_1,2025-08-25 21:24:47,25.74,52.5,51.7,7.05,694.0,173.0,54.0,96.0,Co-60,1262.08,273.0,1.64
Lisimeter_2,2025-08-25 21:24:49,25.17,52.68,51.13,7.01,846.0,182.0,67.0,98.0,Co-60,1200.22,279.0,1.52
Lisimeter_1,2025-08-25 21:24:49,25.09,52.22,53.59,7.09,818.0,180.0,92.0,122.0,Co-60,1287.17,284.0,1.19
Lisimeter_2,2025-08-25 21:24:51,25.75,51.74,51.55,7.0,891.0,115.0,97.0,93.0,Co-60,1218.52,279.0,2.45
Lisimeter_1,2025-08-25 21:24:51,25.88,53.01,51.51,7.07,701.0,167.0,63.0,133.0,Co-60,1277.63,284.0,2.15
Lisimeter_2,2025-08-25 21:24:53,25.65,51.64,51.3,6.97,705.0,103.0,75.0,65.0,Co-60,1248.99,292.0,2.21
Lisimeter_1,2025-08-25 21:24:53,25.34,52.23,49.71,7.16,710.0,161.0,90.0,53.0,Co-60,1196.52,294.0,1.16
Lisimeter_2,2025-08-25 21:24:55,25.39,52.87,52.5,7.03,727.0,105.0,72.0,144.0,Co-60,1254.9,297.0,2.21
Lisimeter_1,2025-08-25 21:24:55,26.24,52.27,49.55,7.02,686.0,167.0,56.0,99.0,Co-60,1297.69,303.0,1.68
Lisimeter_2,2025-08-25 21:24:57,25.48,53.86,49.57,7.0,991.0,171.0,64.0,138.0,Co-60,1290.48,288.0,1.7
Lisimeter_1,2025-08-25 21:24:57,25.79,53.71,50.86,7.06,924.0,116.0,59.0,125.0,Co-60,1239.97,295.0,1.53
Lisimeter_2,2025-08-25 21:24:59,25.66,53.69,48.35,7.1,738.0,151.0,69.0,58.0,Co-60,1171.47,295.0,1.04
Lisimeter_1,2025-08-25 21:24:59,26.39,54.08,49.7,7.18,545.0,166.0,90.0,56.0,Co-60,1252.44,290.0,1.06
Lisimeter_2,2025-08-25 21:25:01,25.47,54.26,48.49,7.1,549.0,100.0,90.0,58.0,Co-60,1205.55,298.0,1.3
